01.01.1970 00:03:33: DCF time = 22:14:00, PREV-NEW = -1481321427, DURATION = 214
01.01.1970 00:01:48: DCF time = 22:21:00, PREV-NEW = -1481321952, DURATION = 109
01.01.1970 00:01:07: DCF time = 22:43:00, PREV-NEW = -1481323313, DURATION = 67
10.12.2016 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
11.12.2016 03:04:59: DCF time = 03:05:00, PREV-NEW = -1, DURATION = 299
12.12.2016 03:10:59: DCF time = 03:11:00, PREV-NEW = -1, DURATION = 659
13.12.2016 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
14.12.2016 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 179
15.12.2016 03:10:58: DCF time = 03:11:00, PREV-NEW = -2, DURATION = 659
16.12.2016 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 239
01.01.1970 00:02:58: DCF time = 18:27:00, PREV-NEW = -1481999042, DURATION = 178
18.12.2016 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
19.12.2016 03:50:58: DCF time = 03:51:00, PREV-NEW = -2, DURATION = 3058
20.12.2016 03:11:58: DCF time = 03:12:00, PREV-NEW = -2, DURATION = 718
21.12.2016 04:10:58: DCF time = 04:11:00, PREV-NEW = -2, DURATION = 4258
22.12.2016 03:15:58: DCF time = 03:16:00, PREV-NEW = -2, DURATION = 958
01.01.1970 00:01:28: DCF time = 17:12:00, PREV-NEW = -1482772232, DURATION = 88
27.12.2016 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
28.12.2016 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
29.12.2016 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
30.12.2016 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
31.12.2016 03:13:59: DCF time = 03:14:00, PREV-NEW = -1, DURATION = 839
01.01.2017 03:02:00: DCF time = 03:02:00, PREV-NEW = 0, DURATION = 120
02.01.2017 06:05:59: DCF time = 06:06:00, PREV-NEW = -1, DURATION = 11159
